id,名前,タイプ1,高さ,重さ,世代,ステータス,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ,捕まえやすさ,進化,画像URL
159,アリゲイツ,みず,1.1,25,2,405,65,80,80,59,63,58,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/159.png
160,オーダイル,みず,2.3,88.8,2,530,85,105,100,79,83,78,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/160.png
161,オタチ,ノーマル,0.8,6,2,215,35,46,34,35,45,20,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/161.png
162,オオタチ,ノーマル,1.8,32.5,2,415,85,76,64,45,55,90,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/162.png
163,ホーホー,ノーマル,0.7,21.2,2,262,60,30,30,36,56,50,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/163.png
164,ヨルノズク,ノーマル,1.6,40.8,2,452,100,50,50,86,96,70,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/164.png
165,レディバ,むし,1,10.8,2,265,40,20,30,40,80,55,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/165.png
166,レディアン,むし,1.4,35.6,2,390,55,35,50,55,110,85,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/166.png
167,イトマル,むし,0.5,8.5,2,250,40,60,40,40,40,30,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/167.png
168,アリアドス,むし,1.1,33.5,2,400,70,90,70,60,70,40,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/168.png
169,クロバット,どく,1.8,75,2,535,85,90,80,70,80,130,90,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/169.png
170,チョンチー,みず,0.5,12,2,330,75,38,38,56,56,67,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/170.png
171,ランターン,みず,1.2,22.5,2,460,125,58,58,76,76,67,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/171.png
172,ピチュー,でんき,0.3,2,2,205,20,40,15,35,35,60,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/172.png
173,ピィ,フェアリー,0.3,3,2,218,50,25,28,45,55,15,150,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/173.png
174,ププリン,ノーマル,0.3,1,2,210,90,30,15,40,20,15,170,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/174.png
175,トゲピー,フェアリー,0.3,1.5,2,245,35,20,65,40,65,20,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/175.png
176,トゲチック,フェアリー,0.6,3.2,2,405,55,40,85,80,105,40,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/176.png
177,ネイティ,エスパー,0.2,2,2,320,40,50,45,70,45,70,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/177.png
178,ネイティオ,エスパー,1.5,15,2,470,65,75,70,95,70,95,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/178.png
179,メリープ,でんき,0.6,7.8,2,280,55,40,40,65,45,35,235,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/179.png
180,モココ,でんき,0.8,13.3,2,365,70,55,55,80,60,45,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/180.png
181,デンリュウ,でんき,1.4,61.5,2,510,90,75,85,115,90,55,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/181.png
182,キレイハナ,くさ,0.4,5.8,2,490,75,80,95,90,100,50,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/182.png
183,マリル,みず,0.4,8.5,2,250,70,20,50,20,50,40,190,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/183.png
184,マリルリ,みず,0.8,28.5,2,420,100,50,80,60,80,50,75,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/184.png
185,ウソッキー,いわ,1.2,38,2,410,70,100,115,30,65,30,65,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/185.png
186,ニョロトノ,みず,1.1,33.9,2,500,90,75,75,90,100,70,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/186.png
187,ハネッコ,くさ,0.4,0.5,2,250,35,35,40,35,55,50,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/187.png
188,ポポッコ,くさ,0.6,1,2,340,55,45,50,45,65,80,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/188.png
189,ワタッコ,くさ,0.8,3,2,460,75,55,70,55,95,110,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/189.png
190,エイパム,ノーマル,0.8,11.5,2,360,55,70,55,40,55,85,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/190.png
191,ヒマナッツ,くさ,0.3,1.8,2,180,30,30,30,30,30,30,235,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/191.png
192,キマワリ,くさ,0.8,8.5,2,425,75,75,55,105,85,30,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/192.png
193,ヤンヤンマ,むし,1.2,38,2,390,65,65,45,75,45,95,75,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/193.png
194,ウパー,みず,0.4,8.5,2,210,55,45,45,25,25,15,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/194.png
195,ヌオー,みず,1.4,75,2,430,95,85,85,65,65,35,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/195.png
196,エーフィ,エスパー,0.9,26.5,2,525,65,65,60,130,95,110,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/196.png
197,ブラッキー,あく,1,27,2,525,95,65,110,60,130,65,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/197.png
198,ヤミカラス,あく,0.5,2.1,2,405,60,85,42,85,42,91,30,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/198.png
199,ヤドキング,みず,2,79.5,2,490,95,75,80,100,110,30,70,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/199.png
200,ムウマ,ゴースト,0.7,1,2,435,60,60,60,85,85,85,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/200.png
201,アンノーン,エスパー,0.5,5,2,336,48,72,48,72,48,48,225,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/201.png
202,ソーナンス,エスパー,1.3,28.5,2,405,190,33,58,33,58,33,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/202.png
203,キリンリキ,ノーマル,1.5,41.5,2,455,70,80,65,90,65,85,60,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/203.png
204,クヌギダマ,むし,0.6,7.2,2,290,50,65,90,35,35,15,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/204.png
205,フォレトス,むし,1.2,125.8,2,465,75,90,140,60,60,40,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/205.png
206,ノコッチ,ノーマル,1.5,14,2,415,100,70,70,65,65,45,190,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/206.png
207,グライガー,じめん,1.1,64.8,2,430,65,75,105,35,65,85,60,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/207.png
208,ハガネール,はがね,9.2,400,2,510,75,85,200,55,65,30,25,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/208.png
209,ブルー,フェアリー,0.6,7.8,2,300,60,80,50,40,40,30,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/209.png
210,グランブル,フェアリー,1.4,48.7,2,450,90,120,75,60,60,45,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/210.png
211,ハリーセン,みず,0.5,3.9,2,440,65,95,85,55,55,85,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/211.png
212,ハッサム,むし,1.8,118,2,500,70,130,100,55,80,65,25,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/212.png
213,ツボツボ,むし,0.6,20.5,2,505,20,10,230,10,230,5,190,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/213.png
214,Scarhino,むし,1.5,54,2,500,80,125,75,40,95,85,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/214.png
215,ニューラ,あく,0.9,28,2,430,55,95,55,35,75,115,60,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/215.png
216,ヒメグマ,ノーマル,0.6,8.8,2,330,60,80,50,50,50,40,120,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/216.png
217,リングマ,ノーマル,1.8,125.8,2,500,90,130,75,75,75,55,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/217.png
218,マグマッグ,ほのお,0.7,35,2,250,40,40,40,70,40,20,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/218.png
219,マグカルゴ,ほのお,0.8,55,2,430,60,50,120,90,80,30,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/219.png
220,ウリムー,こおり,0.4,6.5,2,250,50,50,40,30,30,50,225,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/220.png
221,イノムー,こおり,1.1,55.8,2,450,100,100,80,60,60,50,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/221.png
222,サニーゴ,みず,0.6,5,2,410,65,55,95,65,95,35,60,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/222.png
223,テッポウオ,みず,0.6,12,2,300,35,65,35,65,35,65,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/223.png
224,オクタン,みず,0.9,28.5,2,480,75,105,75,105,75,45,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/224.png
225,デリバード,こおり,0.9,16,2,330,45,55,45,65,45,75,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/225.png
226,マンタイン,みず,2.1,220,2,485,85,40,70,80,140,70,25,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/226.png
227,エアームド,はがね,1.7,50.5,2,465,65,80,140,40,70,70,25,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/227.png
228,デルビル,あく,0.6,10.8,2,330,45,60,30,80,50,65,120,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/228.png
229,ヘルガー,あく,1.4,35,2,500,75,90,50,110,80,95,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/229.png
230,キングドラ,みず,1.8,152,2,540,75,95,95,95,95,85,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/230.png
231,ゴマゾウ,じめん,0.5,33.5,2,330,90,60,60,40,40,40,120,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/231.png
232,ドンファン,じめん,1.1,120,2,500,90,120,120,60,60,50,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/232.png
233,ポリゴン２,ノーマル,0.6,32.5,2,515,85,80,90,105,95,60,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/233.png
234,オドシシ,ノーマル,1.4,71.2,2,465,73,95,62,85,65,85,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/234.png
235,ドーブル,ノーマル,1.2,58,2,250,55,20,35,20,45,75,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/235.png
236,バルキー,かくとう,0.7,21,2,210,35,35,35,35,35,35,75,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/236.png
237,カポエラー,かくとう,1.4,48,2,455,50,95,95,35,110,70,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/237.png
238,ムチュール,こおり,0.4,6,2,305,45,30,15,85,65,65,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/238.png
239,エレキッド,でんき,0.6,23.5,2,360,45,63,37,65,55,95,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/239.png
240,ブビィ,ほのお,0.7,21.4,2,365,45,75,37,70,55,83,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/240.png
241,ミルタンク,ノーマル,1.2,75.5,2,490,95,80,105,40,70,100,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/241.png
242,ハピナス,ノーマル,1.5,46.8,2,540,255,10,10,75,135,55,30,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/242.png
243,ライコウ,でんき,1.9,178,2,580,90,85,75,115,100,115,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/243.png
244,エンテイ,ほのお,2.1,198,2,580,115,115,85,90,75,100,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/244.png
245,スイクン,みず,2,187,2,580,100,75,115,90,115,85,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/245.png
246,ヨーギラス,いわ,0.6,72,2,300,50,64,50,45,50,41,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/246.png
247,サナギラス,いわ,1.2,152,2,410,70,84,70,65,70,51,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/247.png
248,バンギラス,いわ,2,202,2,600,100,134,110,95,100,61,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/248.png
249,ルギア,エスパー,5.2,216,2,680,106,90,130,90,154,110,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/249.png
250,ホウオウ,ほのお,3.8,199,2,680,106,130,90,110,154,90,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/250.png
251,セレビィ,エスパー,0.6,5,2,600,100,100,100,100,100,100,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/251.png
252,キモリ,くさ,0.5,5,3,310,40,45,35,65,55,70,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/252.png
253,ジュプトル,くさ,0.9,21.6,3,405,50,65,45,85,65,95,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/253.png
254,ジュカイン,くさ,1.7,52.2,3,530,70,85,65,105,85,120,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/254.png
255,アチャモ,ほのお,0.4,2.5,3,310,45,60,40,70,50,45,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/255.png
256,ワカシャモ,ほのお,0.9,19.5,3,405,60,85,60,85,60,55,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/256.png
257,バシャーモ,ほのお,1.9,52,3,530,80,120,70,110,70,80,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/257.png
258,ミズゴロウ,みず,0.4,7.6,3,310,50,70,50,50,50,40,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/258.png
259,ヌマクロー,みず,0.7,28,3,405,70,85,70,60,70,50,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/259.png
260,ラグラージ,みず,1.5,81.9,3,535,100,110,90,85,90,60,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/260.png
261,ポチエナ,あく,0.5,13.6,3,220,35,55,35,30,30,35,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/261.png
262,グラエナ,あく,1,37,3,420,70,90,70,60,60,70,127,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/262.png
263,ジグザグマ,ノーマル,0.4,17.5,3,240,38,30,41,30,41,60,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/263.png
264,マッスグマ,ノーマル,0.5,32.5,3,420,78,70,61,50,61,100,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/264.png
265,ケムッソ,むし,0.3,3.6,3,195,45,45,35,20,30,20,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/265.png
266,カラサリス,むし,0.6,10,3,205,50,35,55,25,25,15,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/266.png
267,アゲハント,むし,1,28.4,3,395,60,70,50,100,50,65,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/267.png
268,マユルド,むし,0.7,11.5,3,205,50,35,55,25,25,15,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/268.png
269,ドクケイル,むし,1.2,31.6,3,385,60,50,70,50,90,65,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/269.png
270,ハスボー,みず,0.5,2.6,3,220,40,30,30,40,50,30,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/270.png
271,ハスブレロ,みず,1.2,32.5,3,340,60,50,50,60,70,50,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/271.png
272,ルンパッパ,みず,1.5,55,3,480,80,70,70,90,100,70,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/272.png
273,タネボー,くさ,0.5,4,3,220,40,40,50,30,30,30,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/273.png
274,コノハナ,くさ,1,28,3,340,70,70,40,60,40,60,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/274.png
275,ダーテング,くさ,1.3,59.6,3,480,90,100,60,90,60,80,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/275.png
276,スバメ,ノーマル,0.3,2.3,3,270,40,55,30,30,30,85,200,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/276.png
277,オオスバメ,ノーマル,0.7,19.8,3,455,60,85,60,75,50,125,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/277.png
278,キャモメ,みず,0.6,9.5,3,270,40,30,30,55,30,85,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/278.png
279,ペリッパー,みず,1.2,28,3,440,60,50,100,95,70,65,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/279.png
280,ラルトス,エスパー,0.4,6.6,3,198,28,25,25,45,35,40,235,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/280.png
281,キルリア,エスパー,0.8,20.2,3,278,38,35,35,65,55,50,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/281.png
282,サーナイト,エスパー,1.6,48.4,3,518,68,65,65,125,115,80,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/282.png
283,アメタマ,むし,0.5,1.7,3,269,40,30,32,50,52,65,200,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/283.png
284,アメモース,むし,0.8,3.6,3,454,70,60,62,100,82,80,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/284.png
285,キノココ,くさ,0.4,4.5,3,295,60,40,60,40,60,35,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/285.png
286,キノガッサ,くさ,1.2,39.2,3,460,60,130,80,60,60,70,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/286.png
287,ナマケロ,ノーマル,0.8,24,3,280,60,60,60,35,35,30,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/287.png
288,ヤルキモノ,ノーマル,1.4,46.5,3,440,80,80,80,55,55,90,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/288.png
289,ケッキング,ノーマル,2,130.5,3,670,150,160,100,95,65,100,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/289.png
290,ツチニン,むし,0.5,5.5,3,266,31,45,90,30,30,40,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/290.png
291,テッカニン,むし,0.8,12,3,456,61,90,45,50,50,160,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/291.png
292,ヌケニン,むし,0.8,1.2,3,236,1,90,45,30,30,40,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/292.png
293,ゴニョニョ,ノーマル,0.6,16.3,3,240,64,51,23,51,23,28,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/293.png
294,ドゴーム,ノーマル,1,40.5,3,360,84,71,43,71,43,48,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/294.png
295,バクオング,ノーマル,1.5,84,3,490,104,91,63,91,73,68,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/295.png
296,マクノシタ,かくとう,1,86.4,3,237,72,60,30,20,30,25,180,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/296.png
297,ハリテヤマ,かくとう,2.3,253.8,3,474,144,120,60,40,60,50,200,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/297.png
298,ルリリ,ノーマル,0.2,2,3,190,50,20,40,20,40,20,150,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/298.png
299,ノズパス,いわ,1,97,3,375,30,45,135,45,90,30,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/299.png
300,エネコ,ノーマル,0.6,11,3,260,50,45,45,35,35,50,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/300.png
301,エネコロロ,ノーマル,1.1,32.6,3,400,70,65,65,55,55,90,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/301.png
302,ヤミラミ,あく,0.5,11,3,380,50,75,75,65,65,50,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/302.png
303,クチート,はがね,0.6,11.5,3,380,50,85,85,55,55,50,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/303.png
304,ココドラ,はがね,0.4,60,3,330,50,70,100,40,40,30,180,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/304.png
305,コドラ,はがね,0.9,120,3,430,60,90,140,50,50,40,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/305.png
306,ボスゴドラ,はがね,2.1,360,3,530,70,110,180,60,60,50,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/306.png
307,アサナン,かくとう,0.6,11.2,3,280,30,40,55,40,55,60,180,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/307.png
308,チャーレム,かくとう,1.3,31.5,3,410,60,60,75,60,75,80,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/308.png
309,Dynavolt,でんき,0.6,15.2,3,295,40,45,40,65,40,65,120,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/309.png
310,ライボルト,でんき,1.5,40.2,3,475,70,75,60,105,60,105,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/310.png
311,プラスル,でんき,0.4,4.2,3,405,60,50,40,85,75,95,200,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/311.png
312,マイナン,でんき,0.4,4.2,3,405,60,40,50,75,85,95,200,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/312.png
313,バルビート,むし,0.7,17.7,3,430,65,73,75,47,85,85,150,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/313.png
314,イルミーゼ,むし,0.6,17.7,3,430,65,47,75,73,85,85,150,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/314.png
315,ロゼリア,くさ,0.3,2,3,400,50,60,45,100,80,65,150,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/315.png
316,ゴクリン,どく,0.4,10.3,3,302,70,43,53,43,53,40,225,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/316.png
